Text,Label
Vinay tell me what is the difference between Fourier transform and short time Fourier transform?,Question
Yes Sir. Difference between Fourier transform and short and Fourier transform correct? And from. So basically. Fourier transform deals with all the speech processing signals. And. For your transform mostly deals with uh so can you repeat the question Sir once?,Answer
What's the difference between Fourier transform and HTT?,Question
Fourier transform and HFT. Ah. I'm not sure what is HFT Sir.,Answer
Some time for your transfer.,Statement
Short term OK. Or short term for your transform. So short term for your transform Sir it's basically a technique which we'll be dealing with the short of the signals which we which will be dividing the signals into segments and like basically those windowing Sir. And it also like each window is analyzed by varying the different time frequency. So it so it basically analyzes those signals in different times different time frequencies using the process of either. Segmentation or computing the windowing process. And it yeah it analyzes the speech signal and. And also generates a spectrogram.,Answer
Correct. What is the output of Fourier transform?,Question
Out of output of for your transform. Yeah transform basically deals with decomposition of the signal. Yeah decomposition of the signal. Either by summing those. Sinusoidal compounds. And yeah magnitude and phase differences.,Answer
And what is the output of STFT?,Question
Top HFT. Output of HDFC deals with like the spectrogram generation. Spectrogram generation and speech analysis and signal processing.,Answer
Yeah but OK now tell me what is the spectrogram?,Question
Spectrogram like yeah spectrogram is a visual representation of the signal in a 2D. Plot. Uh which represents uh. Uh X axis has the time and Y axis as the frequency. Or like it is mainly used for. It is mainly used when the signals are need to be analyzed over that time.,Answer
So both are generating frequencies right?,Question
Yes Sir. Both are generating frequencies.,Answer
So how do you decide where you should use STFT and where to use for your transform?,Question
So STFT is mainly used in audio processing or speech processing system Sir. So and yes Sir.,Answer
No go ahead.,Statement
And four year. Transform is. Transform is basically used in signal processing yeah. So when it is also used in signal processing and and it can be also used in like control system mathematical computation statistics all those for Fourier transform and this spectrogram mainly deals with image processing and speed signal. And audio processing.,Answer
Yes TFT is used in speech processing. And not for your transport. It is also any other signal type.,Statement
Yes Sir. So I think it's basically based on the time frequency analysis part. So if you need a particular segments from the signals no Sir. So I think this STFT is way better than. The Fourier transform. Was will be dealing with a particular time frequency range. So we can improve on the specific range of the signal cell.,Answer
OK very good. We'll move on to Tushar now. Yes Sir. USA. Yes Sir.,Statement
What is the difference between dot product and convolution?,Question
Dot product L convolution so. Yes.,Statement
